PROB_NAME,MACHINE,PROB_SIZE,ALG_TIME,TOTAL_TIME
MATMUL_JIK,CLUSTER,4,5.02E-07,3.89E-05
MATMUL_JIK,CLUSTER,8,5.51E-06,8.38E-05
MATMUL_JIK,CLUSTER,16,2.63E-05,8.08E-05
MATMUL_JIK,CLUSTER,32,0.000319511,0.000416207
MATMUL_JIK,CLUSTER,64,0.001436671,0.001521064
MATMUL_JIK,CLUSTER,128,0.018591435,0.018924372
MATMUL_JIK,CLUSTER,256,0.089054602,0.08966117
MATMUL_JIK,CLUSTER,512,0.74997257,0.753287245
MATMUL_JIK,CLUSTER,1024,7.636992255,7.649228229
MATMUL_JIK,LAB207,4,5.47E-07,2.59E-05
MATMUL_JIK,LAB207,8,2.72E-06,2.86E-05
MATMUL_JIK,LAB207,16,1.96E-05,4.80E-05
MATMUL_JIK,LAB207,32,0.000162895,0.000197601
MATMUL_JIK,LAB207,64,0.001235721,0.001297076
MATMUL_JIK,LAB207,128,0.009136574,0.009303404
MATMUL_JIK,LAB207,256,0.073366298,0.073915468
MATMUL_JIK,LAB207,512,0.653874912,0.655773391
MATMUL_JIK,LAB207,1024,7.215087732,7.222329441
